TIME_STAMP	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier CQI CW0	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier Rank Index	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier WideBand CQI CW0	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier Rank Index
2021-02-08 19:28:01.711970	145	4		Rank1				
2021-02-08 19:28:01.844376	149	4	15					
2021-02-08 19:28:01.847078	153	4		Rank1				
2021-02-08 19:28:01.847270	157	4	15					
2021-02-08 19:28:02.273800	161	4		Rank1				
2021-02-08 19:28:03.039235					271	5	15	Rank1
2021-02-08 19:28:03.043564	273	4		Rank1				
2021-02-08 19:28:03.176502	277	4	15					
2021-02-08 19:28:03.176697	281	4		Rank1				
2021-02-08 19:28:03.181372	285	4	15					
2021-02-08 19:28:03.244144	289	4		Rank1				
2021-02-08 19:28:03.244359	293	4	15					
2021-02-08 19:28:03.247855	297	4		Rank1				
2021-02-08 19:28:03.551717	301	4	15					
2021-02-08 19:28:03.554402	305	4		Rank1				
2021-02-08 19:28:03.653207	309	4	15					
2021-02-08 19:28:03.653317	313	4		Rank1				
2021-02-08 19:28:03.653353	317	4	15					
2021-02-08 19:28:03.655944					335	4	15	Rank1
2021-02-08 19:28:03.656037	337	4		Rank1				
2021-02-08 19:28:03.931170	341	4	15					
2021-02-08 19:28:05.812388	554	6	15					
2021-02-08 19:28:05.843706	558	6	15					
2021-02-08 19:28:05.843729					558	8	15	Rank1
2021-02-08 19:28:05.843877					559	2	15	Rank1
2021-02-08 19:28:05.902900					560	9	15	Rank1
2021-02-08 19:28:05.902960	562	6		Rank1				
2021-02-08 19:28:05.905425					564	4	15	Rank1
2021-02-08 19:28:05.959361	566	6	15					
2021-02-08 19:28:05.959538					567	3	15	Rank1
2021-02-08 19:28:05.959580					568	4	15	Rank1
2021-02-08 19:28:05.963081					569	3	15	Rank1
2021-02-08 19:28:05.963107					570	0	15	Rank1
2021-02-08 19:28:05.963116	570	6		Rank1				
2021-02-08 19:28:05.963163					570	9	15	Rank1
2021-02-08 19:28:06.017080					573	9	15	Rank1
2021-02-08 19:28:06.017118					574	5	15	Rank1
2021-02-08 19:28:06.025412	574	6	15					
2021-02-08 19:28:06.025462					575	5	15	Rank1
2021-02-08 19:28:06.065359					577	9	15	Rank1
2021-02-08 19:28:06.065382					578	3	15	Rank1
2021-02-08 19:28:06.065408	578	6		Rank1				
2021-02-08 19:28:06.065511					578	8	15	Rank1
2021-02-08 19:28:06.065552					580	4	15	Rank1
2021-02-08 19:28:06.142908					581	1	15	Rank1
2021-02-08 19:28:06.142960	582	6	15					
2021-02-08 19:28:06.145466					583	9	15	Rank1
2021-02-08 19:28:06.147999	586	6		Rank1				
2021-02-08 19:28:06.259586					588	9	15	Rank1
2021-02-08 19:28:06.259625	590	6	15					
2021-02-08 19:28:06.262975	594	6		Rank1				
2021-02-08 19:28:06.263161	598	6	15					
2021-02-08 19:28:06.800548	602	6		Rank1				
2021-02-08 19:28:06.804568	606	6	15					
2021-02-08 19:28:06.805034	634	6		Rank1				
2021-02-08 19:28:07.332656	666	6		Rank1				
2021-02-08 19:28:07.332822					698	0	15	Rank1
2021-02-08 19:28:07.336200	698	6		Rank1				
2021-02-08 19:28:07.336431	702	6	15					
2021-02-08 19:28:07.372501	706	6		Rank1				
2021-02-08 19:28:07.375571	710	6	15					
2021-02-08 19:28:07.535747	714	6		Rank1				
2021-02-08 19:28:07.535909	718	6	15					
